1	95307
50157 86923 72841 86836
42495 16045 84495 72467
0 30397 81610 82059
0 89039 89038 89062
16903 11493 35408 3251
4043 10656 2634 13123
17598 67950 57475 42659
39332 27316 1614 17998
47765 10145 12742 18460
1067 24077 27830 17824
2009 10283 3520 4246
2930 4354 9440 9439
55887 39201 30615 74823
5486 66707 27532 32507
2027 5153 4830 239
90238 12352 63916 80748
48240 45445 33499 1119
22746 1462 336 4253
19290 27433 27432 34814
32159 86977 86986 58012
4311 5124 1378 10520
1386 6720 3185 1527
6522 9400 46654 18143
50960 50946 1199 68528
825 6600 9042 12958
72350 39947 72287 72290
347 4178 3677 1266
21649 15685 17878 29941
21033 49736 12049 24102
31614 36568 79075 2033
0 74859 88013 30753
408 1124 1077 20812
31767 51912 33504 68816
47313 93319 50557 0
578 24992 26669 44976
8381 2313 13561 13544
6088 7615 28176 6996
712 21861 7228 20539
8872 20329 18810 11585
42063 49147 86315 22603
31769 31808 33522 31806
16761 63020 26484 63019
3763 18297 41663 12536
14504 30903 12504 20183
19999 27055 50358 18388
39688 30997 40208 58553
3686 11472 469 17408
18461 47765 30077 10145
68053 31901 65839 16417
11064 16595 16604 28303
71104 37530 74624 47028
51143 47363 47355 63306
10707 18934 3980 8915
4694 7066 3795 2192
25668 78475 90027 60299
4289 9267 2281 5706
25805 37445 14080 36601
12642 61435 11428 0
26570 28909 18639 17084
10211 2872 9402 13490
6352 577 1458 4702
18422 8973 21147 21611
13816 10866 37286 41820
19223 14646 16922 28678
16816 10602 10488 25001
12384 33279 26096 26436
32085 19622 32102 2059
71338 55254 90709 77279
20879 8360 42877 3074
33308 63044 43689 0
46449 46460 65404 2431
5608 4673 9257 4228
72442 90754 73834 90752
47562 26676 55123 25338
10056 19016 1880 5771
40614 23849 63688 5170
48114 22140 45583 11698
78433 67820 19600 75603
46 1338 2156 2027
55005 55011 55010 73682
31456 30605 55524 17833
0 14824 0 22607
5086 9045 4263 1370
38380 18491 12148 2266
39244 39446 18383 39449
5032 10443 1202 27222
469 7840 267 5395
2391 44461 64883 35187
9708 59191 26618 8578
5940 78786 48191 78780
4111 143 16576 3909
9615 4673 2821 14938
12218 16217 5666 6625
20775 18102 40471 10450
13100 4695 66095 12948
734 3986 10976 396
8111 20373 26910 18598
276 7006 397 7845
30422 34648 21575 11427
9130 4977 12556 1635
26002 64975 83175 26007
46685 80347 90648 43732
3475 1904 17464 5182
12262 14351 18427 6118
3480 2181 3131 2579
86623 82987 67473 82974
24976 57230 8149 24991
12061 52113 56526 43400
2501 6293 1333 3191
17929 5727 2443 2616
19767 91017 7911 62818
6752 16709 9928 7099
2639 27161 5006 1851
31983 2398 13211 32409
21186 16878 12287 34260
26352 19591 30558 18558
44206 46823 0 81656
32255 40906 41162 20254
2726 29974 1953 8937
33141 7870 18567 24018
8110 45453 26857 35179
59298 19279 45233 38416
21951 692 931 12800
11837 4867 11885 6149
58 9082 2891 3892
79415 94743 59939 94746
38166 85695 85812 85807
12754 998 26989 10366
2701 5335 1564 463
1055 30773 19395 34925
3637 2821 2473 1929
9111 31822 31829 31820
5710 19940 7228 49127
52418 78066 6465 0
60691 76453 76408 76373
190 33579 41700 10548
19798 83591 83593 33035
74719 37707 82668 73293
17754 13048 29854 17699
4044 7563 5531 5330
6586 8948 6255 8947
57731 77896 37503 59734
4629 207 46301 37551
4968 11243 12377 4300
50110 670 26403 16757
25237 8386 12314 12317
865 12762 345 12726
897 4671 347 1443
2268 22744 7893 8556
3475 19312 6329 6728
29838 83971 26619 50397
16429 24636 9119 15108
79897 79877 43103 5650
2211 5810 8002 10706
31744 60651 25932 60653
