1 21256
5799	6956	8889	7472
9082	13930	1081	11093
14648	19739	2890	10620
16070	3831	2996	18428
12889	6172	4480	4573
15462	4135	898	17566
10721	12877	10214	4751
9944	5870	6617	13873
17983	3502	917	20230
7958	19910	20222	21059
15435	16623	12254	3565
19636	20406	122	19594
6146	3012	13831	14794
17096	14201	173	17825
8095	18439	8926	9712
13436	9484	9948	2624
18968	12701	7019	13084
16900	14982	9784	3230
2982	5048	2327	20944
8374	17146	8804	17680
19304	13602	9517	9745
12064	16526	5456	16539
11558	10517	10944	1224
17477	3817	7073	5786
12533	18788	8436	4419
14199	14728	12379	11605
16629	6349	760	9504
1066	12233	4407	16758
7477	2987	8275	9244
5709	5523	18359	3105
5428	1449	15238	2873
9605	996	2166	11608
14769	10271	19134	11066
6639	16630	6718	2558
1453	9979	19618	5747
13586	3188	3848	11546
1211	535	372	15515
14867	7718	210	991
17075	7505	6250	1378
2279	907	19997	9958
19864	18315	19289	1265
1328	3183	17002	15087
16722	11989	15457	16720
6566	16205	6563	15056
18993	16130	5395	5996
17935	11564	1263	14086
12317	1622	12762	17704
12200	9660	16590	5788
4171	3071	3394	14916
10880	16627	13473	19436
19971	18703	1062	7897
15335	10009	17788	221
18066	8841	17025	14113
7466	15993	15995	9906
14829	13502	18631	14716
8293	18264	1494	3577
6975	19556	20624	20127
1947	6052	7846	4568
15906	10226	3512	390
16571	1281	19780	16886
6593	12198	12895	7135
1913	12570	9500	19816
3900	1795	3029	739
73	14021	9855	4306
13653	11960	11955	749
13169	20544	16828	19439
9044	11843	17253	15871
8360	2421	5019	12165
13822	14476	11917	13573
12294	9157	3210	4240
16747	9547	7406	19370
7233	13549	18511	12088
18015	16727	21039	599
17103	14050	5757	4600
16065	372	15535	16067
19197	12804	2065	11023
7136	3364	6017	8560
9680	9659	7900	1436
2226	13484	15947	10151
7318	11158	7480	7777
9350	11841	9282	13986
11529	12583	12234	17273
13406	3586	3791	10965
19133	5098	4995	15511
9104	3769	15999	12294
16697	11766	10367	10174
1167	19272	14743	9454
19533	12267	1915	12394
12059	2858	3100	3989
5257	3372	7826	18761
15048	11612	15885	14362
11602	2630	1402	3394
16096	2512	17575	1210
17987	14467	13827	15426
17738	15626	5603	17741
9962	8511	63	13945
5172	1397	597	142
11323	13396	3965	1501
16537	583	9776	11369
17120	11870	14507	1656
4889	5486	9393	10318
10414	10412	5818	2711
17733	10255	42	4213
4810	16769	1444	13701
8109	11360	15559	7709
10439	13263	13155	17141
8332	14393	2798	19223
2801	2825	8777	830
18135	8047	7663	18166
13657	18152	12011	11264
9178	4957	5744	19266
559	7108	19002	1110
17260	12427	756	9032
12066	18574	18572	14078
15433	11733	14173	882
1824	933	11776	12056
14786	2906	9333	15510
17907	8864	16364	13511
18522	1452	13087	8683
14493	12354	18045	17240
704	10117	8849	19348
16038	11869	8649	15176
3400	8740	10687	3822
10940	2973	5167	6473
12124	5850	10576	12121
1169	321	92	283
14468	172	13872	11322
5937	18001	16820	14652
13236	20553	3638	16057
14125	12512	4674	2712
5283	17588	2936	2228
2717	20554	5280	17188
4557	5579	2113	2789
9356	7679	12311	20043
17886	11041	19676	575
17765	9119	18380	12876
17184	20303	19612	11887
15425	9503	4715	1375
1320	15719	3453	1095
10935	1314	2884	15816
17579	16965	3497	15756
17764	6140	4301	15019
8619	2204	2337	11315
305	12300	11847	12997
6978	20577	4861	1011
9231	5215	18209	18212
20323	21177	2826	4478
19028	13668	5170	12149
19413	18409	10104	21161
8710	14308	15065	20418
669	17874	16072	6884
7216	19784	20547	5370
16583	5202	7004	18409
13871	13037	1223	13866
7908	3117	19915	5725
19058	14638	20299	20300
19279	4887	8677	7039
5914	9306	10111	17300
734	3418	542	10042
12795	8371	9218	18601
16034	18171	12190	12192
4726	20772	14487	8837
17650	16854	5945	5259
1949	223	15532	7886
2526	6294	87	12109
9919	8435	9697	9043
16155	11836	7273	3660
3142	1852	5303	2448
11616	11160	4982	7479
462	12434	13518	17552
16391	15410	5307	16390
6670	1301	6011	13585
13567	3371	4512	5372
7530	16909	17697	19918
17850	14767	17857	14675
14101	220	5533	4088
17016	14923	624	12266
226	6462	13424	13428
15540	15849	18351	12736
14955	15590	701	3283
13765	13105	587	20167
9840	9975	3758	10634
16844	18600	5043	20550
10405	11147	5917	19716
9793	11187	6983	13699
3129	13418	12408	13413
18045	14493	11944	16132
19109	20217	13630	16259
17586	15182	10930	17585
934	8267	5901	7380
7845	8215	2288	11229
5319	7290	6471	2933
1996	14304	67	11978
