1	21256
100	735	3408	3594	3307	3
101	2771	1642	1851	2572	2
102	3059	3313	3335	962	3
103	3394	3440	3691	3328	4
104	1659	1813	2789	879	2
105	1704	2960	2879	1366	2
106	88	3418	3501	589	3
107	2430	2449	2948	3043	1
108	109	525	3414	524	3
109	821	1464	1018	2047	2
110	2930	1296	1321	1008	2
111	2862	843	1225	1226	2
112	3135	3432	3499	3284	3
113	1089	1090	2120	1889	2
114	454	519	3620	574	4
115	1521	1107	3510	1526	3
116	2130	2742	2741	3045	1
117	133	432	3401	431	3
118	1678	1880	2817	3035	2
119	473	3368	3398	669	4
120	2495	892	1437	1921	2
121	680	472	3368	665	4
122	591	589	3501	399	3
123	141	377	3636	185	3
124	1907	2057	3040	3019	1
125	1050	1208	3645	1207	3
126	169	3382	3549	3249	3
127	3225	3267	3461	3174	4
128	1209	3657	2242	1050	2
129	786	3484	3495	244	3
130	2314	1266	2466	1832	2
131	305	181	3622	46	3
132	384	695	3637	44	4
133	531	3332	3630	3206	3
134	363	3520	3603	361	4
135	523	542	3242	251	3
136	3202	3251	3703	3141	3
137	144	203	3629	269	4
138	3157	3363	3405	3298	3
139	257	3373	3581	561	4
140	347	322	3372	512	4
141	1191	3150	3556	974	3
142	2966	1225	1691	2264	2
143	1132	1805	3134	1653	3
144	3019	1467	1078	878	2
145	420	419	3626	242	3
146	4	604	3276	782	3
147	173	3156	3526	96	4
148	479	3435	3638	721	4
149	161	651	3706	676	3
150	1697	2205	2461	1172	2
151	1608	2189	2612	2843	2
152	305	306	3622	181	3
153	196	725	3518	723	4
154	3253	3428	3474	3150	3
155	3452	3476	3619	3229	3
156	862	2950	889	1078	2
157	953	2317	1269	1270	2
158	388	3457	3479	418	3
159	373	12	3515	113	4
160	1464	821	2541	2047	2
161	204	3308	3526	272	4
162	750	521	3527	102	3
163	237	3531	3665	741	3
164	197	14	3447	231	4
165	1095	1862	833	1096	2
166	2231	2229	1196	1096	2
167	2506	2508	2718	3043	1
168	2454	2165	2452	3040	1
169	1164	2660	1533	2197	2
170	135	3281	3619	477	3
171	3014	2576	1957	928	2
